index,Text,Emotion

0,मै सैटिस्फाइड नहीं हु ,2
1,बहुत ही निराशाजनक अनुभव था हमारा ,2
2,क्या यार अब तक पैसा नहीं आया ,2
3,यार कब होगा रिचार्ज मेरे अकाउंट का ,2
4,कुछ मज़ा नही आया ,2
5,मुझे सेफ फील नहीं हो रहा था ,2
6,कितना सड़ा होटल था ,2
7,रीस्टार्ट करने पे भी नहीं हो रहा ,2
8,यार मै बहुत परेशान हो गया हु ,2
9,बहुत ही वाहियाद सर्विस है होटल की  ,2
10,चेक इन टाइम गलत बताया यार तुमने ,2
11,मुझे तेरे से और उम्मीद थी यार ,2
12,उस होटल में मज़ा नहीं आया,2
13,होटल वाले ने मुझसे ज्यादा पैसा लिया ,2
14,कैब वाले ने मुझसे टोल टैक्स भरवाया ,2
15,हमें आपसे ये उम्मीद नहीं थी,2
16,तुमने मुझे बहुत निराश कर दिया,2
17,बद्तमीज़ स्टाफ था ,2
18,इस मौसम के कारण मै पीड़ित हु ,2
19,काश ये पहले हो जाता ,2
20,तुमसे ये उम्मीद नहीं थी ,2
21,कैब के ड्राइवर ने मुझे बीच में ही उतार दिआ,2
22,मूड ऑफ कर दिया ,2
23,बेशिस्त ड्राइवर था ,2
24,कैब लोकेशन पर नहीं पहुंची,2
25,मेरा होटल में स्टे अच्छा नहीं था ,2
26,तुम और बेटर कर सकते हो ,2
27,आजका मौसम गन्दा है ,2
28,ट्रैन टिकट अपने आप कैंसिल कैसे हो गयी ,2
29,मेरे को तुम्हारा सर्विस उतना अच्छा नहीं लगा,2
30,एप में और सुधार लाओ ,2
31,मुझे तुमसे और एक्सपेक्टेशंस थी ,2
32,मेरे को तुम्हारा सर्विस पसंद नहीं आया,2
33,होटल में स्विमिंग पूल और बार नहीं था यार ,2
34,मै तुमसे नाखुश हू ,2
35,एप से कुछ हेल्प नहीं मिला ,2
36,यह तो खराब हुआ,2
37,बहुत दुखी हूँ मै तुम्हारे कारण,2
38,शिट यार फिर से चैनल्स बंद हो गए ,2
39,मेरी किस्मत इतनी ख़राब कैसे है ,2
40,इस एप को और बेहतर कर सकते हो ,2
41,ये ऐप कुछ ख़ास नहीं है ,2
42,टिकट बुक नहीं हुई ,2
43,होटल की लोकेशन अच्छी नही थी ,2
44,आज मज़ा नहीं आया ,2
45,इनका सर्विस समझ के बाहर है ,2
46,काश ये हो पाता यार ,2
47,अरे यार ये कैब वाला लगता है परसों आएगा ,2
48,यार मेरी दिक्कत क्यों नहीं समझ रहे,2
49,होटल से व्यू अच्छा नहीं था ,2
50,सर्विस इम्प्रूव करो ,2
51,थोड़ा और सस्ता फ्लाइट बुक हो सकता था ,2
52,ड्राइवर ने कैंसिल कर दिया ,2
53,कैब ड्राइवर ने मुझे गाली दी ,2
54,शिट यार मेरी फ्लाइट डिले हो गयी ,2
55,मै अनसैटिस्फाइड हू ,2
56,भूक लगी है और अब तक डिलीवर नहीं किया खाना ,2
57,बेकार प्लान है इनका ,2
58,यार मेरे पैसे वापस कब मिलेंगे ,2
59,इसके यहाँ से अब सर्विस नहीं लूंगा ,2
60,कैब वाले ने मुझसे ढंग से बात नहीं की ,2
61,ड्राइवर का बर्ताव अच्छा नहीं था ,2
62,कैब वाले ने मुझसे बदतमीजी की ,2
63,होटल का खाना वाहियात था ,2
64,एप मे दम नहीं है ,2
65,मज़ा नहीं आया इस बार,2
66,होटल वालों का बिहेवियर अच्छा नहीं था,2
67,परेशान हो गया हूं यार,2
68,मई बहुत पीड़ित हु,2
69,ये एप्प कभी भी धोखा दे सकती है ,2
70,अरे यार कस्टमर केयर को कॉल लगाते लगाते परेशान हो गया हु,2
71,अरे ये कैसे होगा यार ,2
72,तुमसे ये उम्मीद नहीं थी ,2
73,मै नाराज हु,2
74,कैब अंदर से काफी गन्दी थी ,2
75,एप्प का परफॉर्मेंस बहुत खराब है ,2
76,वह होटल बेकार निकला ,2
77,होटल मेरी एक्सपेक्टेशंस के हिसाब से नहीं था ,2
78,ट्रैन ने गांड मार कर रखी है ,2
79,पैसे अभी तक वापस नहीं आए यार ,2
80,अरे बोलो भाई ,2
81,ये एप्प बहुत फसने लग गया है यार ,2
82,सॉरी यार गलती हो गयी ,2
83,यार फ्लाइट ने जीना हराम कर दिए है ,2
84,बेकार कैब थी यार,2
85,आई वॉस एक्सपेक्टिंग मोर,2
86,मुझे तुमसे ये उम्मीद नहीं थी ,2
87,तुम बुकिंग करने में इतनी देर क्यों लगाते हो ,2
88,हमरी यात्रा सुखद नहीं थी ,2
89,कैब ड्राइवर बुरा था ,2
90,कैब ड्राइवर गधा था ,2
91,होटल स्टाफ डिसिप्लिंड नहीं था ,2
92,ऐसा कैसे चलेगा ,2
93,आज तक की सबसे बेकार सर्विस थी ,2
94,गन्दा होटल था ,2
95,अच्छा एक्सपीरिएंस नहीं था ,2
96,बेकार एक्सपीरियंस था होटल में ,2
97,इस सर्विस से काफी नाराज हु मै,2
98,मै निराश हू ,2
99,मेरी फ्लाइट २ घंटा डिले हो गयी ,2
100,फ्लाइट मैं लेगस्पेस इतना काम था ,2
101,ये कैब फिरसे से टाइम पे बुक नहीं हुई ,2
102,इतनी गंदगी थी वह पर ,2
103,मुझे ये एप्प बिलकुल अच्छा नहीं लगा ,2
