
index,Text,Emotion
0,कैब वाले ने फिर से कैंसिल कर दिया,0
1,मुझे बहुत गुस्सा आ रहा है ,0
2,जल्दी कर यार तू रिचार्ज लौड़े ,0
3,क्या बताओ यार मूड ही ख़राब है ,0
4,ऐसे कैसे चैनल्स बंद कर दिए आप ,0
5,मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,0
6,आप ऐसे कैसे मेरा पैसा काट सकते हो ,0
7,जल्दी डलवा मेरे पैसे इडियट ,0
8,तू गधा है क्या ,0
9,अबे चूतियों वाली बातें मत करो ,0
10,ये कैब वाला कहा मर गया ,0
11,मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,0
12,मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,0
13,गवार तू जल्दी रिचार्ज करेगा ,0
14,इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,0
15,और कितना इंतज़ार करवाओगे भाई ,0
16,कैसी घटिया सर्विस है तुम्हारी ,0
17,मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,0
18,दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,0
19,कहाँ से होगा बे तेरा रिचार्ज  ,0
20,आप अपनी सर्विस अपने पास रखो ,0
21,यार बार बार इंडिका ही क्यों बुक होता है ,0
22,क्या बेकार की बातें कर रहे हो ,0
23,अबे गांडू हो क्या ?,0
24,अबे रिचार्ज कर चुप चाप से ,0
25,गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,0
26,ये कैसा घटिया प्लान है ,0
27,एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,0
28,यूज़लेस एप ,0
29,कुछ भी बोल रहे हो यार ,0
30,गवार एप ,0
31,मुझे तुमसे बात नहीं करनी है ,0
32,ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,0
33,अरे ये चैनल कैसे लॉक हो गया गधे ,0
34,अबे भोसड़ीके ,0
35,हरामज़ादे ,0
36,घटिया सर्विस ,0
37,चूतिया है क्या ? ,0
38,एकदम बेकार ,0
39,कमीने ,0
40,बहुत परेशान करता है ये एप ,0
41,वेस्ट ऑफ टाइम,0
42,जो बोला वो क्यों नहीं करते हो ? ,0
43,तुम कभी कुछ समझते ही नहीं हो ,0
44,फ़क ऑफ़ ,0
45,मै तंग आ चुका हू ,0
46,तुम एक दम बेवक़ूफ़ हो ,0
47,बहनचोद  ,0
48,तुम सबसे वाहियाद हो ,0
49,हरामी ,0
50,कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,0
51,अबे ये एप्प कितना फसता है ,0
52,यार कुछ पल्ले ही नहीं पर रहा ,0
53,ये क्या बकवास है ,0
54,साले मादरचोद हो तुम ,0
55,ऐसा लग रहा है दीवार से बात कर रहा हु ,0
56,बहुत टाइम लग रहा है बुक हने मे ,0
57,क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,0
58,तबसे एक काम नहीं  कर पा रहे हो तुम ,0
59,ओय मुझे गधा समझा है क्या ,0
60,तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,0
61,लंड बॉट है ये ,0
62,हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,0
63,तुमसे अच्छा तोह मै खुद ही कर लूं,0
64,कम ऑन मैन ,0
65,बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,0
66,मादरचोद ,0
67,तुमसे नहीं हो पायेगा ,0
68,दुनिया का सबसे बेकार एप्प है तुम्हारा ,0
69,व्हाट ध फ़क ,0
70,तुमसे कोई काम न होता भोसड़ीके ,0
71,अपने आप को समझ क्या रखा है तूने कुत्ते ,0
72,इत्ता परेशान मै पहले कभी नहीं हुआ ,0
73,गए गुजरे हो तुम हरामजादे,0
74,क्या बेकार अप्प है ,0
75,तुम्हारे वजह से बेज़त्ति हो गयी मेरी,0
76,मेरा टाइम बर्बाद कर दिया ,0
77,क्या लूज़र सा एप है ,0
78,चुतियापा बंध करो तुम्हारा ,0
79,पागल बना रखा है इस एप ने ,0
80,मेरी कैब क्यों नहीं आ रही है ,0
81,कुछ भी नहीं बको बे ,0
82,कहा मर गए ,0
83,क्या वाहियात है यार ,0
84,अबे क्या मुझे तू उल्लू समझ रहा है ,0
85,अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,0
86,लंड जैसा काम किया तुमने ,0
87,क्या पागलपंती है ये ,0
88,बहुत ही घटिया एप्प है तुम्हारा ,0
89,तुमसे अच्छा गधे से काम करा लूं,0
90,मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,0
91,क्या बेकार रिस्पांस है इस एप का ,0
92,कभी तो काम के आओ तुम ,0
93,अभी तक साले ने डिलीवरी नहीं दी ,0
94,यार क्या घटिया सर्विस है ,0
95,तुम किसी काम के नहीं हो बहनचोद ,0
96,इतना मेहेंगा क्यों भोस्डिके ,0
97,यूज़लेस ,0
98,मेरे फ्लाइट  का बुकिंग फेल हो रहा है बार बार ,0
99,अजीब पागल हो तुम बे ,0
100,कोई काम के नहीं हो तुम ,0
101,क्या बतमीज़ी है यार ,0
102,जा नहीं करा रहा मैं रिचार्ज ,0
103,कितनी बार बोला की मेरा डिश टीवी रिचार्ज करना है ,0
104,अपना पैक अपने पास रख ,0
105,नहीं डलवाऊँगा पैसे मैं साले चोर ,0
106,एक भी सही चीज नहीं बताई तुमने,0
107,कितनी बार एक ही चीज़ बोलनी पड़ेगी ,0
108,एप्प बार बार फस क्यों रहा है ,0
109,कभी तो समझ जा एक बार मे ,0
110,तू बस अपना पैक्स डिटेल्स दे नालायक ,0
111,क्या बकवास पैक्स हैं ,0
112,कुछ काम का नहीं है ये एप ,0
113,तेरे को एक बार में समझ में नहीं आती क्या ,0
114,ये कैब कहा रह गया यार ,0
115,बार बार एक ही चीज़ बोले जा रहे हो ,0
116,कुछ भी करके मेरे पैसे रिवर्ट कराओ ,0
117,होते कौन हो आप ऐसा करने वाले ,0
118,दिमाग खराब कर दिया ,0
119,मुझे तुम से बहुत शिकायत है ,0
120,टट्टी एप है ये ,0
121,मुझे कुछ समझ में नहीं आ रहा है ,0
122,यार क्या बकवास कर रहे हो तुम ,0
123,साले मेरा पैसा कब तक आएगा ,0
124,एक ही बात कितने बार बोलोगे ,0
125,कब तक एक ही बात बोलोगे ,0
126,चुप चाप मेरे पैसे लौटा ,0
127, तुझे एक बार मैं समझ नहीं आता क्या ,0
128,बहुत कन्फुसिंग इंटरफ़ेस है तुम्हारा ,0
129,मै तुमसे बहुत क्रोधित हु ,0
