index,Text,Emotion

0,भाई मुझे एक बात बताओ ,3
1,मेरी बुकिंग हो गई क्या ,3
2,मेरे अकाउंट में कितना बैलेंस बचा है ,3
3,क्या रिचार्ज करना चाहिए ,3
4,बार बार रीस्टार्ट करने से भी वही दिखा रहा *,3
5,मेरे अकाउंट में कितना राशि बचा है ,3
6,अबे एक ओयो बुक कर दो भाई के लिए ,3
7,मै आगे कैसे बढू ,3
8,कुछ ऐसा डील दो यार की मजा  जाए ,3
9,ये चैनल कैसे चालू करूँ ,3
10,कुछ पैसे है या नहीं मेरे अकाउंट में ,3
11,कितना पैसा है मेरे अकाउंट में ,3
12,अंतिम समय कब तक है रिचार्ज करने की ,3
13,और क्या क्या करता है ये एप,3
14,ओए एक बुकिंग कर दे कैब की,3
15,क्या मैं चैनल्स ऐड कर सकता हूँ ,3
16,मेरे अकाउंट का बैलेंस बताये जरा,3
17,मेरे अकाउंट में कितना बैलेंस है ,3
18,जो चैनल मै नहीं देखता उसके पैसे क्यों दू ,3
19, प्लीज मेरे लिए बैंगलोर में एक होटेल खोजो ,3
20,आज का मौसम कैसा है ,3
21,बड़ी गाड़ी बुक कर सकते हो क्या ,3
22,इस महीने चल जाएंगे इतने पैसे में ,3
23,कौन सा प्लान परिवार के हिसाब से सही होगा  ,3
24,सबसे कम वाली बेस पैक कौन सी है  ,3
25,आखरी तारीख क्या है बैलेंस एक्सपायर होने में ,3
26,मेरी ट्रैन टाइम से चल रही है ना ,3
27,नागपुर से मुंबई की २ फ्लाइट टिकट्स बुक करना,3
28,बाहर क्या टेंपरेचर है,3
29,क्या मेरा एक काम करदोगे ,3
30,ये एप्प इस्तेमाल करके देखे ,3
31,यार कही घूमने चलते है ,3
32,और क्या हालचाल है,3
33,कैब कहा है भाई ,3
34,अरे बढ़िया एक हेल्प कर दो सारथी,3
35,परसों का कोई फ्लाइट टिकट्स दिखाओ अहमदाबाद से ग्वालियर का,3
36,आज का मौसम बताओ ,3
37,होटल कौन से इलाके में है ,3
38,५ मिनट में ऑटो बुक कर सकते हो क्या,3
39,एक ऑटो बुक कर दो जल्दी ,3
40,फ्लाइट टिकट अवेलेबल है क्या ,3
41,कैब कब तक आएगा ,3
42,सबसे कम टाइम लगने वाली ट्रेन बताओ,3
43,कल का ट्रैन अवेलेबल है ,3
44,क्या मेरा फ्लाइट ऑन टाइम है ,3
45,और सुनाओ ,3
46,होटल को कितनी रेटिंग मिली है ,3
47,ट्रेन क्या टाइम स्टेशन पहुंचेगी,3
48,फटा फट एक कैब बुक करना ,3
49,पता नहीं कब पैसे वापस आएँगे ,3
50,ठीक ठाक एप्प लगता है ,3
51,सबसे सस्ता फ्लाइट का टिकट बुक कर दो इधर से मुंबई का,3
52,क्या हाल चाल है ,3
53,ये क्या है ,3
54,मेरी ट्रैन का स्टेटस पता करो ,3
55,हाल फिलहाल में बारिश होने वाली है क्या,3
56,एक काम कर दो,3
57,क्या इतना खर्च करना सही होगा ,3
58,मेरा कैब कैंसिल कर दो ,3
59,अगले महीने की फ्लाइट की टिकट करा दो बेंगलुरु से दिल्ली की,3
60,कोसिस करनी चाहिए ,3
61,अभी के अभी बुक करो ,3
62,तुम ट्रैन का टिकट बुक सकते हो ,3
63,इधर कोई ३ स्टार होटल है आस पास मै ,3
