Text,Emotion
कैब वाले ने फिर से कैंसिल कर दिया,0
मुझे बहुत गुस्सा आ रहा है ,0
जल्दी कर यार तू रिचार्ज लौड़े ,0
क्या बताओ यार मूड ही ख़राब है ,0
ऐसे कैसे चैनल्स बंद कर दिए आप ,0
मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,0
आप ऐसे कैसे मेरा पैसा काट सकते हो ,0
जल्दी डलवा मेरे पैसे इडियट ,0
तू गधा है क्या ,0
अबे चूतियों वाली बातें मत करो ,0
ये कैब वाला कहा मर गया ,0
मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,0
मेरा दिमाग ख़राब मत कर और तुरंत रिचार्ज कर   ,0
गवार तू जल्दी रिचार्ज करेगा ,0
इनके सीनियर एग्जीक्यूटिव से कम्प्लेन करनी पड़ेगी ,0
और कितना इंतज़ार करवाओगे भाई ,0
कैसी घटिया सर्विस है तुम्हारी ,0
मैंने 10 बार कम्प्लेन की है लेकिन कुछ हल नहीं निकल रहा ,0
दिमाग मत ख़राब कर और जल्दी रिचार्ज कर ,0
कहाँ से होगा बे तेरा रिचार्ज  ,0
आप अपनी सर्विस अपने पास रखो ,0
यार बार बार इंडिका ही क्यों बुक होता है ,0
क्या बेकार की बातें कर रहे हो ,0
अबे गांडू हो क्या ?,0
अबे रिचार्ज कर चुप चाप से ,0
गधे के बच्चे बता ये प्रॉब्लम कैसे सॉल्व करूँ मैं ,0
ये कैसा घटिया प्लान है ,0
एक बार में समझ नहीं आया बोला रिचार्ज करने तो ,0
यूज़लेस एप ,0
कुछ भी बोल रहे हो यार ,0
गवार एप ,0
मुझे तुमसे बात नहीं करनी है ,0
ये चैनल्स का रेट इतना ज्यादा क्यों कर देते है बार बार ,0
अरे ये चैनल कैसे लॉक हो गया गधे ,0
अबे भोसड़ीके ,0
हरामज़ादे ,0
घटिया सर्विस ,0
चूतिया है क्या ? ,0
एकदम बेकार ,0
कमीने ,0
बहुत परेशान करता है ये एप ,0
वेस्ट ऑफ टाइम,0
जो बोला वो क्यों नहीं करते हो ? ,0
तुम कभी कुछ समझते ही नहीं हो ,0
फ़क ऑफ़ ,0
मै तंग आ चुका हू ,0
तुम एक दम बेवक़ूफ़ हो ,0
बहनचोद  ,0
तुम सबसे वाहियाद हो ,0
हरामी ,0
कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,0
अबे ये एप्प कितना फसता है ,0
यार कुछ पल्ले ही नहीं पर रहा ,0
ये क्या बकवास है ,0
साले मादरचोद हो तुम ,0
ऐसा लग रहा है दीवार से बात कर रहा हु ,0
बहुत टाइम लग रहा है बुक हने मे ,0
क्या फालतू इंटरफ़ेस है तुम्हारे एप्प का ,0
तबसे एक काम नहीं  कर पा रहे हो तुम ,0
ओय मुझे गधा समझा है क्या ,0
तुमको कुछ समझ में नहीं आता क्या बहनचोद  ,0
लंड बॉट है ये ,0
हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,0
तुमसे अच्छा तोह मै खुद ही कर लूं,0
कम ऑन मैन ,0
बहुत ही बकवास वेबसाइट है तुम्हारा भाई ,0
मादरचोद ,0
तुमसे नहीं हो पायेगा ,0
दुनिया का सबसे बेकार एप्प है तुम्हारा ,0
व्हाट ध फ़क ,0
तुमसे कोई काम न होता भोसड़ीके ,0
अपने आप को समझ क्या रखा है तूने कुत्ते ,0
इत्ता परेशान मै पहले कभी नहीं हुआ ,0
गए गुजरे हो तुम हरामजादे,0
क्या बेकार अप्प है ,0
तुम्हारे वजह से बेज़त्ति हो गयी मेरी,0
मेरा टाइम बर्बाद कर दिया ,0
क्या लूज़र सा एप है ,0
चुतियापा बंध करो तुम्हारा ,0
पागल बना रखा है इस एप ने ,0
मेरी कैब क्यों नहीं आ रही है ,0
कुछ भी नहीं बको बे ,0
कहा मर गए ,0
क्या वाहियात है यार ,0
अबे क्या मुझे तू उल्लू समझ रहा है ,0
अरे ये चैनल्स क्यों नहीं आ रहा चूतिये ,0
